Wavelength(gantner);RoundedWavelength;Wavelength(std);Wavelength(Matching)
580,27;580,5;892;580
581,11;581;894;580
581,52;581,5;895;581
581,94;582;896;581
582,36;582,5;897;582
582,77;583;898;582
583,6;583,5;900;583
584,02;584;901;583
584,44;584,5;902;584
584,85;585;903;584
585,27;585,5;904;584
586,1;586;906;584
586,52;586,5;907;586
586,93;587;908;586
587,35;587,5;909;587
587,77;588;910;587
588,6;588,5;912;588
589,01;589;913;588
589,43;589,5;914;589
589,85;590;915;589
590,26;590,5;916;590
591,09;591;918;590
591,51;591,5;919;590
591,93;592;920;590
592,34;592,5;921;592
592,76;593;922;592
593,59;593,5;924;593
594,01;594;925;593
594,42;594,5;926;594
594,84;595;927;594
595,25;595,5;928;595
596,08;596;930;595
596,5;596,5;931;596
596,92;597;932;596
597,33;597,5;933;597
597,75;598;934;597
598,58;598,5;936;597
598,99;599;937;597
599,41;599,5;938;599
599,83;600;939;599
600,66;600,5;941;600
601,07;601;942;600
601,49;601,5;943;601
601,9;602;944;601
602,32;602,5;945;602
603,15;603;947;602
603,56;603,5;948;603
603,98;604;949;603
604,4;604,5;950;603
604,81;605;951;603
605,64;605,5;953;605
606,06;606;954;605
606,47;606,5;955;606
606,89;607;956;606
607,3;607,5;957;607
608,13;608;959;607
608,55;608,5;960;608
608,96;609;961;608
609,38;609,5;962;609
609,79;610;963;609
610,62;610,5;965;609
611,04;611;966;609
611,46;611,5;967;611
611,87;612;968;611
612,29;612,5;969;612
613,12;613;971;612
613,53;613,5;972;613
613,95;614;973;613
614,36;614,5;974;614
614,78;615;975;614
615,61;615,5;977;615
616,02;616;978;615
616,44;616,5;979;615
616,85;617;980;615
617,26;617,5;981;617
618,09;618;983;617
618,51;618,5;984;618
618,92;619;985;618
619,34;619,5;986;619
619,75;620;987;619
620,58;620,5;989;620
621;621;990;620
621,41;621,5;991;621
621,83;622;992;621
622,66;622,5;994;622
623,07;623;995;622
623,49;623,5;996;622
623,9;624;997;622
624,32;624,5;998;624
625,14;625;1000;624
625,56;625,5;1001;625
625,97;626;1002;625
626,39;626,5;1003;626
626,8;627;1004;626
627,63;627,5;1006;627
628,05;628;1007;627
628,46;628,5;1008;628
628,87;629;1009;628
629,29;629,5;1010;628
630,12;630;1012;628
630,53;630,5;1013;630
630,95;631;1014;630
631,36;631,5;1015;631
631,77;632;1016;631
632,6;632,5;1018;632
633,02;633;1019;632
633,43;633,5;1020;633
633,85;634;1021;633
634,26;634,5;1022;634
635,09;635;1024;634
635,5;635,5;1025;634
635,92;636;1026;634
636,33;636,5;1027;636
637,16;637;1029;636
637,57;637,5;1030;637
637,99;638;1031;637
638,4;638,5;1032;638
638,81;639;1033;638
639,64;639,5;1035;639
640,06;640;1036;639
640,47;640,5;1037;640
640,88;641;1038;640
641,3;641,5;1039;641
642,12;642;1041;641
642,54;642,5;1042;641
642,95;643;1043;641
643,37;643,5;1044;643
643,78;644;1045;643
644,61;644,5;1047;644
645,02;645;1048;644
645,43;645,5;1049;645
645,85;646;1050;645
646,26;646,5;1051;646
647,09;647;1053;646
647,5;647,5;1054;647
647,92;648;1055;647
648,33;648,5;1056;647
649,16;649;1058;647
649,57;649,5;1059;649
649,98;650;1060;649
650,4;650,5;1061;650
650,81;651;1062;650
651,64;651,5;1064;651
652,05;652;1065;651
652,46;652,5;1066;652
652,88;653;1067;652
653,29;653,5;1068;653
654,12;654;1070;653
654,53;654,5;1071;653
654,94;655;1072;653
655,36;655,5;1073;655
655,77;656;1074;655
656,6;656,5;1076;656
657,01;657;1077;656
657,42;657,5;1078;657
657,84;658;1079;657
658,25;658,5;1080;658
659,07;659;1082;658
659,49;659,5;1083;659
659,9;660;1084;659
660,31;660,5;1085;659
661,14;661;1087;659
661,55;661,5;1088;661
661,97;662;1089;661
662,38;662,5;1090;662
662,79;663;1091;662
663,62;663,5;1093;663
664,03;664;1094;663
664,44;664,5;1095;664
664,86;665;1096;664
665,27;665,5;1097;665
666,09;666;1099;665
666,51;666,5;1100;666
666,92;667;1101;666
667,33;667,5;1102;666
668,16;668;1104;666
668,57;668,5;1105;668
668,98;669;1106;668
669,39;669,5;1107;669
669,81;670;1108;669
670,63;670,5;1110;670
671,04;671;1111;670
671,46;671,5;1112;671
671,87;672;1113;671
672,28;672,5;1114;672
673,11;673;1116;672
673,52;673,5;1117;672
673,93;674;1118;672
674,34;674,5;;674
674,76;675;;674
675,58;675,5;;675
675,99;676;;675
676,41;676,5;;676
676,82;677;;676
677,64;677,5;;677
678,05;678;;677
678,47;678,5;;678
678,88;679;;678
679,29;679,5;;678
680,11;680;;678
680,53;680,5;;680
680,94;681;;680
681,35;681,5;;681
681,76;682;;681
682,59;682,5;;682
683;683;;682
683,41;683,5;;683
683,82;684;;683
684,65;684,5;;684
685,06;685;;684
685,47;685,5;;684
685,88;686;;684
686,29;686,5;;686
687,12;687;;686
687,53;687,5;;687
687,94;688;;687
688,35;688,5;;688
688,76;689;;688
689,59;689,5;;689
690;690;;689
690,41;690,5;;690
690,82;691;;690
691,64;691,5;;691
692,06;692;;691
692,47;692,5;;691
692,88;693;;691
693,29;693,5;;693
694,11;694;;693
694,52;694,5;;694
694,94;695;;694
695,35;695,5;;695
695,76;696;;695
696,58;696,5;;696
696,99;697;;696
697,4;697,5;;697
697,81;698;;697
698,64;698,5;;697
699,05;699;;697
699,46;699,5;;699
699,87;700;;699
700,28;700,5;;700
701,1;701;;700
701,51;701,5;;701
701,92;702;;701
702,34;702,5;;702
702,75;703;;702
703,57;703,5;;703
703,98;704;;703
704,39;704,5;;703
704,8;705;;703
705,62;705,5;;705
706,03;706;;705
706,44;706,5;;706
706,86;707;;706
707,27;707,5;;707
708,09;708;;707
708,5;708,5;;708
708,91;709;;708
709,32;709,5;;709
710,14;710;;709
710,55;710,5;;709
710,96;711;;709
711,37;711,5;;711
711,78;712;;711
712,6;712,5;;712
713,01;713;;712
713,42;713,5;;713
713,83;714;;713
714,25;714,5;;714
715,07;715;;714
715,48;715,5;;715
715,89;716;;715
716,3;716,5;;715
717,12;717;;715
717,53;717,5;;717
717,94;718;;717
718,35;718,5;;718
718,76;719;;718
719,58;719,5;;719
719,99;720;;719
