Wavelength(nm),Timestamp,Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
350.14,2022/05/13 15:05:00,476.84,451.45,450.91,447.15,436.39,436.29
350.56,2022/05/13 15:05:00,481.17,455.78,455.25,451.17,441.0,440.67
350.99,2022/05/13 15:05:00,485.99,460.05,459.62,455.89,445.32,445.42
351.41,2022/05/13 15:05:00,490.64,465.11,464.25,460.21,450.0,450.1
351.84,2022/05/13 15:05:00,494.67,469.64,468.58,464.76,454.05,454.16
352.26,2022/05/13 15:05:00,498.47,473.08,472.02,468.11,456.9,457.53
352.69,2022/05/13 15:05:00,500.96,475.33,474.17,470.48,458.78,459.72
353.11,2022/05/13 15:05:00,501.65,476.73,474.83,470.73,459.48,461.16
353.54,2022/05/13 15:05:00,501.32,476.44,474.76,470.56,459.11,461.0
353.96,2022/05/13 15:05:00,499.79,475.15,473.37,469.28,457.96,459.64
354.39,2022/05/13 15:05:00,497.76,473.26,471.48,467.29,456.2,457.66
354.81,2022/05/13 15:05:00,495.14,470.79,468.91,464.83,454.07,455.11
355.24,2022/05/13 15:05:00,492.09,468.21,466.13,462.17,451.74,453.09
355.66,2022/05/13 15:05:00,490.3,466.69,464.19,459.93,449.84,451.61
356.09,2022/05/13 15:05:00,488.33,465.0,462.61,458.57,448.2,450.07
356.51,2022/05/13 15:05:00,487.18,463.56,461.39,457.86,446.78,449.16
356.94,2022/05/13 15:05:00,486.41,462.69,460.52,456.89,445.61,447.99
357.36,2022/05/13 15:05:00,485.8,462.56,459.86,456.54,445.54,447.72
357.79,2022/05/13 15:05:00,485.21,461.1,459.02,456.0,444.67,447.06
358.21,2022/05/13 15:05:00,485.13,460.83,458.74,455.51,444.24,446.64
358.64,2022/05/13 15:05:00,485.07,461.22,458.91,455.57,444.37,446.99
359.06,2022/05/13 15:05:00,486.87,462.81,460.5,457.14,446.42,448.63
359.48,2022/05/13 15:05:00,489.48,465.55,463.86,460.28,449.31,450.9
359.91,2022/05/13 15:05:00,494.32,470.09,468.4,465.02,453.49,455.49
360.33,2022/05/13 15:05:00,500.98,476.57,474.66,471.26,459.38,461.39
360.76,2022/05/13 15:05:00,508.55,483.55,481.64,478.66,466.32,468.76
361.18,2022/05/13 15:05:00,517.25,491.44,489.84,486.65,474.06,476.73
361.61,2022/05/13 15:05:00,526.58,500.29,498.58,495.05,482.55,484.9
362.03,2022/05/13 15:05:00,535.73,509.06,507.34,503.81,491.06,493.2
362.46,2022/05/13 15:05:00,545.39,518.32,516.39,512.52,500.27,501.99
362.88,2022/05/13 15:05:00,554.87,527.55,524.97,521.09,509.16,511.31
363.31,2022/05/13 15:05:00,563.83,536.19,533.5,529.84,517.48,519.84
363.73,2022/05/13 15:05:00,572.09,544.2,541.62,537.65,525.21,527.46
364.16,2022/05/13 15:05:00,580.33,552.6,549.93,545.75,533.12,535.47
364.58,2022/05/13 15:05:00,588.69,560.42,558.07,553.59,541.0,542.92
365.00,2022/05/13 15:05:00,596.74,567.62,565.49,561.24,548.38,550.29
365.43,2022/05/13 15:05:00,604.04,574.71,572.91,568.25,555.34,557.24
365.85,2022/05/13 15:05:00,611.91,581.92,580.23,575.58,562.49,564.39
366.28,2022/05/13 15:05:00,617.99,587.89,586.0,580.95,568.43,570.11
366.70,2022/05/13 15:05:00,623.21,593.01,591.75,586.19,573.92,575.39
367.13,2022/05/13 15:05:00,627.71,597.69,596.33,590.58,578.14,579.5
367.55,2022/05/13 15:05:00,631.06,601.22,599.76,593.81,581.19,582.44
367.98,2022/05/13 15:05:00,632.92,603.04,601.58,595.85,583.05,584.19
368.40,2022/05/13 15:05:00,633.57,603.93,602.58,596.65,584.07,585.22
368.82,2022/05/13 15:05:00,632.31,603.04,601.17,595.46,583.11,584.35
369.25,2022/05/13 15:05:00,629.25,599.62,598.69,592.68,580.04,581.08
369.67,2022/05/13 15:05:00,624.99,595.91,595.08,588.77,576.66,577.18
370.10,2022/05/13 15:05:00,620.49,591.23,590.3,584.51,572.21,572.93
370.52,2022/05/13 15:05:00,614.15,585.36,584.74,578.86,566.58,567.62
370.95,2022/05/13 15:05:00,608.19,580.17,579.14,573.47,561.42,562.35
371.37,2022/05/13 15:05:00,602.83,575.37,573.83,568.38,556.66,557.89
371.80,2022/05/13 15:05:00,598.61,571.4,569.86,564.31,552.71,553.73
372.22,2022/05/13 15:05:00,595.79,568.57,567.44,562.2,550.39,551.62
372.64,2022/05/13 15:05:00,595.94,568.47,567.34,562.3,549.96,551.4
373.07,2022/05/13 15:05:00,596.17,568.59,567.87,562.72,550.79,551.92
373.49,2022/05/13 15:05:00,596.56,568.53,568.33,563.09,551.08,552.21
373.92,2022/05/13 15:05:00,597.97,570.52,569.8,564.47,552.8,553.62
374.34,2022/05/13 15:05:00,600.83,572.95,572.95,567.34,555.49,556.21
374.76,2022/05/13 15:05:00,605.22,576.43,576.94,571.55,558.94,559.65
375.19,2022/05/13 15:05:00,611.62,581.92,583.23,577.56,564.48,565.29
375.61,2022/05/13 15:05:00,619.63,589.71,591.13,584.46,572.02,572.83
376.04,2022/05/13 15:05:00,627.71,597.43,598.64,592.2,579.22,579.62
376.46,2022/05/13 15:05:00,633.1,602.56,603.96,597.47,584.7,584.7
376.88,2022/05/13 15:05:00,638.12,606.84,608.03,601.69,589.22,588.82
377.31,2022/05/13 15:05:00,641.85,610.03,611.41,604.83,592.56,591.97
377.73,2022/05/13 15:05:00,643.58,611.44,613.1,606.67,593.91,593.13
378.16,2022/05/13 15:05:00,644.18,612.26,613.9,607.42,594.55,594.16
378.58,2022/05/13 15:05:00,644.05,612.24,613.4,607.14,593.93,593.55
379.01,2022/05/13 15:05:00,640.84,609.16,610.03,603.98,591.12,590.92
379.43,2022/05/13 15:05:00,633.3,601.85,602.62,597.09,583.74,583.55
379.85,2022/05/13 15:05:00,623.4,592.19,593.04,587.65,574.79,574.69
380.28,2022/05/13 15:05:00,613.99,583.4,584.16,579.26,566.28,566.28
380.70,2022/05/13 15:05:00,604.91,574.99,575.27,570.86,558.38,558.2
381.12,2022/05/13 15:05:00,595.43,566.55,566.37,561.97,550.2,550.01
381.55,2022/05/13 15:05:00,585.37,557.36,557.18,552.71,541.46,541.18
381.97,2022/05/13 15:05:00,576.8,549.27,548.9,545.09,533.41,533.78
382.40,2022/05/13 15:05:00,571.06,543.79,543.7,539.9,528.3,528.77
382.82,2022/05/13 15:05:00,566.91,539.43,539.34,536.0,524.02,524.76
383.24,2022/05/13 15:05:00,562.23,535.89,535.8,532.09,520.58,520.95
383.67,2022/05/13 15:05:00,558.46,532.36,532.27,528.94,517.37,517.93
384.09,2022/05/13 15:05:00,556.94,530.97,530.97,527.64,516.26,516.91
384.52,2022/05/13 15:05:00,558.08,532.26,532.35,529.02,517.82,518.19
384.94,2022/05/13 15:05:00,561.44,535.32,535.87,532.45,521.61,521.52
385.36,2022/05/13 15:05:00,565.87,539.6,540.43,536.64,525.82,525.45
385.79,2022/05/13 15:05:00,572.66,545.71,546.36,542.57,531.5,531.68
386.21,2022/05/13 15:05:00,581.92,555.25,555.16,551.65,540.21,540.3
386.63,2022/05/13 15:05:00,593.28,566.21,565.84,562.33,550.69,550.69
387.06,2022/05/13 15:05:00,605.17,577.43,577.61,573.91,561.52,561.61
387.48,2022/05/13 15:05:00,616.75,588.23,588.33,584.62,572.22,572.12
387.90,2022/05/13 15:05:00,626.68,597.77,597.49,593.6,581.18,581.36
388.33,2022/05/13 15:05:00,634.5,604.9,604.81,601.19,588.38,588.48
388.75,2022/05/13 15:05:00,639.56,610.02,609.65,605.56,592.93,593.39
389.18,2022/05/13 15:05:00,641.86,612.67,612.2,607.83,595.29,595.47
389.60,2022/05/13 15:05:00,641.22,611.69,611.32,607.04,593.86,594.79
390.02,2022/05/13 15:05:00,639.39,610.04,609.02,604.94,591.66,593.14
390.45,2022/05/13 15:05:00,637.49,608.54,607.42,603.51,590.01,591.41
390.87,2022/05/13 15:05:00,635.24,606.67,605.73,601.63,587.72,589.49
391.29,2022/05/13 15:05:00,633.77,605.28,603.79,600.13,585.8,587.95
391.72,2022/05/13 15:05:00,631.96,603.57,602.16,598.4,584.02,586.28
392.14,2022/05/13 15:05:00,630.11,602.47,601.25,597.19,582.94,585.11
392.56,2022/05/13 15:05:00,629.06,601.02,599.98,596.0,581.99,583.88
392.99,2022/05/13 15:05:00,627.24,599.09,598.23,594.24,580.06,582.06
393.41,2022/05/13 15:05:00,623.08,595.44,594.29,590.19,576.27,578.66
393.83,2022/05/13 15:05:00,618.75,591.52,590.18,586.45,572.5,574.8
394.26,2022/05/13 15:05:00,617.42,590.35,589.39,585.46,571.16,573.46
394.68,2022/05/13 15:05:00,619.91,592.68,591.52,587.85,573.95,575.69
395.10,2022/05/13 15:05:00,627.47,599.3,598.43,595.32,580.94,582.5
395.53,2022/05/13 15:05:00,639.77,611.53,610.85,607.23,592.97,594.24
395.95,2022/05/13 15:05:00,657.58,628.38,628.29,624.35,609.71,610.89
396.37,2022/05/13 15:05:00,679.73,649.36,649.75,646.09,630.17,631.55
396.80,2022/05/13 15:05:00,704.76,673.49,674.19,669.51,653.68,655.07
397.22,2022/05/13 15:05:00,730.85,698.39,698.79,694.28,677.94,679.45
397.64,2022/05/13 15:05:00,757.09,723.7,723.8,719.57,702.52,703.93
398.07,2022/05/13 15:05:00,782.85,748.21,748.41,743.84,726.78,728.2
398.49,2022/05/13 15:05:00,807.85,771.83,771.93,767.33,749.63,750.96
398.91,2022/05/13 15:05:00,831.31,794.52,794.72,789.67,771.85,773.39
399.34,2022/05/13 15:05:00,854.25,816.89,817.09,812.01,793.43,795.4
399.76,2022/05/13 15:05:00,877.13,838.87,838.77,833.54,814.62,816.19
400.18,2022/05/13 15:05:00,898.96,860.32,860.21,854.74,835.16,836.74
400.61,2022/05/13 15:05:00,919.53,879.56,879.24,874.05,853.9,855.6
401.03,2022/05/13 15:05:00,936.76,896.52,896.09,890.22,870.47,871.86
401.45,2022/05/13 15:05:00,949.87,909.35,908.6,902.79,882.8,884.84
401.88,2022/05/13 15:05:00,959.06,918.05,916.86,911.45,890.68,893.06
402.30,2022/05/13 15:05:00,963.83,922.98,921.45,916.22,895.53,897.7
402.72,2022/05/13 15:05:00,965.11,924.64,922.67,916.86,897.34,899.2
403.15,2022/05/13 15:05:00,965.4,924.21,922.33,916.81,896.93,898.58
403.57,2022/05/13 15:05:00,965.12,924.02,921.79,916.33,896.84,898.4
403.99,2022/05/13 15:05:00,964.62,923.17,920.81,914.97,896.1,897.45
404.41,2022/05/13 15:05:00,960.45,919.98,916.82,911.4,892.63,893.99
404.84,2022/05/13 15:05:00,956.75,916.38,913.2,907.63,888.64,891.03
405.26,2022/05/13 15:05:00,953.17,912.47,909.26,903.78,885.14,887.2
405.68,2022/05/13 15:05:00,950.2,908.91,905.69,900.28,881.54,883.61
406.11,2022/05/13 15:05:00,947.51,905.86,902.85,897.65,878.68,880.87
406.53,2022/05/13 15:05:00,944.98,903.2,900.41,895.06,876.44,878.76
406.95,2022/05/13 15:05:00,942.68,901.59,898.66,893.16,874.67,877.12
407.37,2022/05/13 15:05:00,943.03,901.97,899.96,894.3,875.18,877.66
407.80,2022/05/13 15:05:00,944.67,903.86,901.6,896.12,876.73,879.47
408.22,2022/05/13 15:05:00,946.63,905.98,903.71,897.95,878.65,881.64
408.64,2022/05/13 15:05:00,949.54,908.12,906.19,900.27,881.07,884.21
409.07,2022/05/13 15:05:00,953.68,911.61,910.15,904.07,884.37,887.66
409.49,2022/05/13 15:05:00,957.68,916.4,914.81,908.93,888.97,892.64
409.91,2022/05/13 15:05:00,963.91,922.29,920.19,914.14,894.51,898.46
410.33,2022/05/13 15:05:00,971.07,928.94,926.7,921.59,901.14,905.01
410.76,2022/05/13 15:05:00,978.92,935.97,934.46,929.17,908.52,912.04
411.18,2022/05/13 15:05:00,985.91,942.67,941.27,935.67,915.07,918.25
411.60,2022/05/13 15:05:00,991.39,949.03,947.62,941.97,920.79,923.49
412.03,2022/05/13 15:05:00,997.15,954.91,953.74,947.52,926.4,929.64
412.45,2022/05/13 15:05:00,1004.98,963.42,961.45,955.82,934.18,937.46
412.87,2022/05/13 15:05:00,1013.65,971.99,970.0,964.43,942.14,945.32
413.29,2022/05/13 15:05:00,1020.38,978.55,976.68,970.78,948.53,951.21
413.72,2022/05/13 15:05:00,1026.77,984.4,981.97,976.15,953.54,956.79
414.14,2022/05/13 15:05:00,1033.21,990.39,988.47,981.77,959.74,962.2
414.56,2022/05/13 15:05:00,1040.15,996.27,994.34,988.25,965.96,968.59
414.98,2022/05/13 15:05:00,1045.62,1001.63,999.53,993.65,970.82,973.48
415.41,2022/05/13 15:05:00,1047.28,1003.69,1001.85,996.19,972.56,975.53
415.83,2022/05/13 15:05:00,1049.24,1005.21,1003.35,997.35,974.19,977.05
416.25,2022/05/13 15:05:00,1051.19,1006.84,1005.83,1000.48,976.21,978.67
416.67,2022/05/13 15:05:00,1053.53,1009.7,1008.97,1003.12,979.01,981.79
417.10,2022/05/13 15:05:00,1056.8,1012.93,1011.31,1005.55,981.03,984.87
417.52,2022/05/13 15:05:00,1059.11,1014.81,1013.47,1007.8,983.64,987.67
417.94,2022/05/13 15:05:00,1060.67,1015.71,1014.35,1008.94,984.73,988.94
418.36,2022/05/13 15:05:00,1060.14,1015.06,1013.39,1008.1,984.8,987.83
418.79,2022/05/13 15:05:00,1058.13,1013.0,1011.48,1006.16,982.76,986.1
419.21,2022/05/13 15:05:00,1057.22,1011.98,1010.45,1004.95,981.87,985.54
419.63,2022/05/13 15:05:00,1057.69,1011.21,1009.97,1005.2,982.11,985.65
420.05,2022/05/13 15:05:00,1058.06,1011.51,1010.27,1005.46,982.35,985.76
